行业代码,一级行业名称,二级行业名称,三级行业名称
110000,农林牧渔,,
210000,采掘,,
220000,化工,,
230000,钢铁,,
240000,有色金属,,
270000,电子,,
280000,汽车,,
330000,家用电器,,
340000,食品饮料,,
350000,纺织服装,,
360000,轻工制造,,
370000,医药生物,,
410000,公用事业,,
420000,交通运输,,
430000,房地产,,
450000,商业贸易,,
460000,休闲服务,,
480000,银行,,
490000,非银金融,,
510000,综合,,
610000,建筑材料,,
620000,建筑装饰,,
630000,电气设备,,
640000,机械设备,,
650000,国防军工,,
710000,计算机,,
720000,传媒,,
730000,通信,,
110100,农林牧渔,种植业,
110200,农林牧渔,渔业,
110300,农林牧渔,林业,
110400,农林牧渔,饲料,
110500,农林牧渔,农产品加工,
110600,农林牧渔,农业综合,
110700,农林牧渔,畜禽养殖,
110800,农林牧渔,动物保健,
210100,采掘,石油开采,
210200,采掘,煤炭开采,
210300,采掘,其他采掘,
210400,采掘,采掘服务,
220100,化工,石油化工,
220200,化工,化学原料,
220300,化工,化学制品,
220400,化工,化学纤维,
220500,化工,塑料,
220600,化工,橡胶,
230100,钢铁,钢铁,
240200,有色金属,金属非金属新材料,
240300,有色金属,工业金属,
240400,有色金属,黄金,
240500,有色金属,稀有金属,
270100,电子,半导体,
270200,电子,元件,
270300,电子,光学光电子,
270400,电子,其他电子,
270500,电子,电子制造,
280100,汽车,汽车整车,
280200,汽车,汽车零部件,
280300,汽车,汽车服务,
280400,汽车,其他交运设备,
330100,家用电器,白色家电,
330200,家用电器,视听器材,
340300,食品饮料,饮料制造,
340400,食品饮料,食品加工,
350100,纺织服装,纺织制造,
350200,纺织服装,服装家纺,
360100,轻工制造,造纸,
360200,轻工制造,包装印刷,
360300,轻工制造,家用轻工,
360400,轻工制造,其他轻工制造,
370100,医药生物,化学制药,
370200,医药生物,中药,
370300,医药生物,生物制品,
370400,医药生物,医药商业,
370500,医药生物,医疗器械,
370600,医药生物,医疗服务,
410100,公用事业,电力,
410200,公用事业,水务,
410300,公用事业,燃气,
410400,公用事业,环保工程及服务,
420100,交通运输,港口,
420200,交通运输,高速公路,
420300,交通运输,公交,
420400,交通运输,航空运输,
420500,交通运输,机场,
420600,交通运输,航运,
420700,交通运输,铁路运输,
420800,交通运输,物流,
430100,房地产,房地产开发,
430200,房地产,园区开发,
450200,商业贸易,贸易,
450300,商业贸易,一般零售,
450400,商业贸易,专业零售,
450500,商业贸易,商业物业经营,
460100,休闲服务,景点,
460200,休闲服务,酒店,
460300,休闲服务,旅游综合,
460400,休闲服务,餐饮,
460500,休闲服务,其他休闲服务,
480100,银行,银行,
490100,非银金融,证券,
490200,非银金融,保险,
490300,非银金融,多元金融,
510100,综合,综合,
610100,建筑材料,水泥制造,
610200,建筑材料,玻璃制造,
610300,建筑材料,其他建材,
620100,建筑装饰,房屋建设,
620200,建筑装饰,装修装饰,
620300,建筑装饰,基础建设,
620400,建筑装饰,专业工程,
620500,建筑装饰,园林工程,
630100,电气设备,电机,
630200,电气设备,电气自动化设备,
630300,电气设备,电源设备,
630400,电气设备,高低压设备,
640100,机械设备,通用机械,
640200,机械设备,专用设备,
640300,机械设备,仪器仪表,
640400,机械设备,金属制品,
640500,机械设备,运输设备,
650100,国防军工,航天装备,
650200,国防军工,航空装备,
650300,国防军工,地面兵装,
650400,国防军工,船舶制造,
710100,计算机,计算机设备,
710200,计算机,计算机应用,
720100,传媒,文化传媒,
720200,传媒,营销传播,
720300,传媒,互联网传媒,
730100,通信,通信运营,
730200,通信,通信设备,
110101,农林牧渔,种植业,种子生产
110102,农林牧渔,种植业,粮食种植
110103,农林牧渔,种植业,其他种植业
110201,农林牧渔,渔业,海洋捕捞
110202,农林牧渔,渔业,水产养殖
110301,农林牧渔,林业,林业
110401,农林牧渔,饲料,饲料
110501,农林牧渔,农产品加工,果蔬加工
110502,农林牧渔,农产品加工,粮油加工
110504,农林牧渔,农产品加工,其他农产品加工
110601,农林牧渔,农业综合,农业综合
110701,农林牧渔,畜禽养殖,畜禽养殖
110801,农林牧渔,动物保健,动物保健
210101,采掘,石油开采,石油开采
210201,采掘,煤炭开采,煤炭开采
210202,采掘,煤炭开采,焦炭加工
210301,采掘,其他采掘,其他采掘
210401,采掘,采掘服务,油气钻采服务
210402,采掘,采掘服务,其他采掘服务
220101,化工,石油化工,石油加工
220103,化工,石油化工,石油贸易
220201,化工,化学原料,纯碱
220202,化工,化学原料,氯碱
220203,化工,化学原料,无机盐
220204,化工,化学原料,其他化学原料
220301,化工,化学制品,氮肥
220302,化工,化学制品,磷肥
220303,化工,化学制品,农药
220304,化工,化学制品,日用化学产品
220305,化工,化学制品,涂料油漆油墨制造
220306,化工,化学制品,钾肥
220307,化工,化学制品,民爆用品
220308,化工,化学制品,纺织化学用品
220309,化工,化学制品,其他化学制品
220310,化工,化学制品,复合肥
220311,化工,化学制品,氟化工及制冷剂
220312,化工,化学制品,磷化工及磷酸盐
220313,化工,化学制品,聚氨酯
220314,化工,化学制品,玻纤
220401,化工,化学纤维,涤纶
220402,化工,化学纤维,维纶
220403,化工,化学纤维,粘胶
220404,化工,化学纤维,其他纤维
220405,化工,化学纤维,氨纶
220501,化工,塑料,其他塑料制品
220502,化工,塑料,合成革
220503,化工,塑料,改性塑料
220601,化工,橡胶,轮胎
220602,化工,橡胶,其他橡胶制品
220603,化工,橡胶,炭黑
230101,钢铁,钢铁,普钢
230102,钢铁,钢铁,特钢
240201,有色金属,金属非金属新材料,金属新材料
240202,有色金属,金属非金属新材料,磁性材料
240203,有色金属,金属非金属新材料,非金属新材料
240301,有色金属,工业金属,铝
240302,有色金属,工业金属,铜
240303,有色金属,工业金属,铅锌
240401,有色金属,黄金,黄金
240501,有色金属,稀有金属,稀土
240502,有色金属,稀有金属,钨
240503,有色金属,稀有金属,锂
240504,有色金属,稀有金属,其他稀有小金属
270101,电子,半导体,集成电路
270102,电子,半导体,分立器件
270103,电子,半导体,半导体材料
270202,电子,元件,印制电路板
270203,电子,元件,被动元件
270301,电子,光学光电子,显示器件
270302,电子,光学光电子,LED
270303,电子,光学光电子,光学元件
270401,电子,其他电子,其他电子
270501,电子,电子制造,电子系统组装
270502,电子,电子制造,电子零部件制造
280101,汽车,汽车整车,乘用车
280102,汽车,汽车整车,商用载货车
280103,汽车,汽车整车,商用载客车
280201,汽车,汽车零部件,汽车零部件
280301,汽车,汽车服务,汽车服务
280401,汽车,其他交运设备,其他交运设备
330101,家用电器,白色家电,冰箱
330102,家用电器,白色家电,空调
330103,家用电器,白色家电,洗衣机
330104,家用电器,白色家电,小家电
330105,家用电器,白色家电,家电零部件
330201,家用电器,视听器材,彩电
330202,家用电器,视听器材,其它视听器材
340301,食品饮料,饮料制造,白酒
340302,食品饮料,饮料制造,啤酒
340303,食品饮料,饮料制造,其他酒类
340304,食品饮料,饮料制造,软饮料
340305,食品饮料,饮料制造,葡萄酒
340306,食品饮料,饮料制造,黄酒
340401,食品饮料,食品加工,肉制品
340402,食品饮料,食品加工,调味发酵品
340403,食品饮料,食品加工,乳品
340404,食品饮料,食品加工,食品综合
350101,纺织服装,纺织制造,毛纺
350102,纺织服装,纺织制造,棉纺
350103,纺织服装,纺织制造,丝绸
350104,纺织服装,纺织制造,印染
350105,纺织服装,纺织制造,辅料
350106,纺织服装,纺织制造,其他纺织
350202,纺织服装,服装家纺,男装
350203,纺织服装,服装家纺,女装
350204,纺织服装,服装家纺,休闲服装
350205,纺织服装,服装家纺,鞋帽
350206,纺织服装,服装家纺,家纺
350207,纺织服装,服装家纺,其他服装
360101,轻工制造,造纸,造纸
360201,轻工制造,包装印刷,包装印刷
360302,轻工制造,家用轻工,家具
360303,轻工制造,家用轻工,其他家用轻工
360304,轻工制造,家用轻工,珠宝首饰
360305,轻工制造,家用轻工,文娱用品
360401,轻工制造,其他轻工制造,其他轻工制造
370101,医药生物,化学制药,化学原料药
370102,医药生物,化学制药,化学制剂
370201,医药生物,中药,中药
370301,医药生物,生物制品,生物制品
370401,医药生物,医药商业,医药商业
370501,医药生物,医疗器械,医疗器械
370601,医药生物,医疗服务,医疗服务
410101,公用事业,电力,火电
410102,公用事业,电力,水电
410103,公用事业,电力,燃机发电
410104,公用事业,电力,热电
410105,公用事业,电力,新能源发电
410201,公用事业,水务,水务
410301,公用事业,燃气,燃气
410401,公用事业,环保工程及服务,环保工程及服务
420101,交通运输,港口,港口
420201,交通运输,高速公路,高速公路
420301,交通运输,公交,公交
420401,交通运输,航空运输,航空运输
420501,交通运输,机场,机场
420601,交通运输,航运,航运
420701,交通运输,铁路运输,铁路运输
420801,交通运输,物流,物流
430101,房地产,房地产开发,房地产开发
430201,房地产,园区开发,园区开发
450201,商业贸易,贸易,贸易
450301,商业贸易,一般零售,百货
450302,商业贸易,一般零售,超市
450303,商业贸易,一般零售,多业态零售
450401,商业贸易,专业零售,专业连锁
450501,商业贸易,商业物业经营,一般物业经营
450502,商业贸易,商业物业经营,专业市场
460101,休闲服务,景点,人工景点
460102,休闲服务,景点,自然景点
460201,休闲服务,酒店,酒店
460301,休闲服务,旅游综合,旅游综合
460401,休闲服务,餐饮,餐饮
460501,休闲服务,其他休闲服务,其他休闲服务
480101,银行,银行,银行
490101,非银金融,证券,证券
490201,非银金融,保险,保险
490301,非银金融,多元金融,多元金融
510101,综合,综合,综合
610101,建筑材料,水泥制造,水泥制造
610201,建筑材料,玻璃制造,玻璃制造
610301,建筑材料,其他建材,耐火材料
610302,建筑材料,其他建材,管材
610303,建筑材料,其他建材,其他建材
620101,建筑装饰,房屋建设,房屋建设
620201,建筑装饰,装修装饰,装修装饰
620301,建筑装饰,基础建设,城轨建设
